Day,Daynum,Daytype,Daytypenum,Timebucket,Nbarrivals
Fri,5,Workday,1,0,0
Fri,5,Workday,1,50,0
Fri,5,Workday,1,100,0
Fri,5,Workday,1,150,0
Fri,5,Workday,1,200,0
Fri,5,Workday,1,250,0
Fri,5,Workday,1,300,0
Fri,5,Workday,1,350,0
Fri,5,Workday,1,400,0
Fri,5,Workday,1,450,0
Fri,5,Workday,1,500,0
Fri,5,Workday,1,550,0
Fri,5,Workday,1,600,0
Fri,5,Workday,1,650,0
Fri,5,Workday,1,700,0
Fri,5,Workday,1,750,0
Fri,5,Workday,1,800,8
Fri,5,Workday,1,850,7
Fri,5,Workday,1,900,8
Fri,5,Workday,1,950,11
Fri,5,Workday,1,1000,8
Fri,5,Workday,1,1050,9
Fri,5,Workday,1,1100,10
